# tako 解説動画（#1081）— 5 章「かんたん表示（GUI モード）」の手順デモ区間。
# ユーザー評価（2026-09-08）「簡単 GUI 表示モードの解説がすごく分かりづらい。しっかりと、
# その章で新しいタブを立てて、GUI モードで新しいペインを出すとどんなボタンが出て、
# マスター起動ボタンを押すとどんな UI で…そんな感じでしっかりやってほしい」への差し替え。
#
# 1 区間 = 1 操作。**旧 c5_gui（1 区間 18 秒）を削除して、この 11 区間を c5_solo の後ろへ置く**
# （master の話が完結したあとに「初心者向けの同じこと」を見せる並びにする）。
# 列は explainer-timeline.tsv と同じ: id  kind  source  anchor  offset  min_dur  caption  subtitle  speech
#
# ボタンの名称・説明文・脚注は実機（隔離 tako・2026-09-09）で確認した実文言。
# 推測で書いていない。UI 側の正本は crates/tako-app/src/ui_text/ui_mode.rs

c5_gui1	clip	guimode	newtab	-3	9	かんたん表示を順番に使ってみる	まず「+」で新しいタブを作る	ここからは、かんたん表示を順番に使ってみます。まず、プラスのボタンで新しいタブを作ります。
c5_gui2	clip	guimode	togui	-3	12	右上のボタンでかんたん表示へ	tako ui-mode gui でも同じ	ウインドウの右上にあるボタンを押すと、かんたん表示に切り替わります。タコ ユーアイモード ジーユーアイ、というコマンドでも同じです。
c5_gui3	clip	guimode	cards	0	10	まだ何もしていないペインは、みっつのボタンになる	何をしますか？ / ボタンを押すと、この画面で AI が動き始めます	かんたん表示では、まだ何もしていないペインが、みっつのボタンになります。何をしますか、と聞かれています。
c5_gui4	clip	guimode	card1	0	13	① AI チームに任せる（tako master）	司令塔の AI が話を聞いて、必要なだけ担当 AI を集めて進めます	ひとつ目は、エーアイチームに任せる。押すと司令塔のエーアイが立ち上がって、必要なだけ担当のエーアイを集めて進めます。タコ マスター と打つのと同じです。
c5_gui5	clip	guimode	card2	0	11	② AI と 1 対 1 で話す（tako solo）	1 体の AI とじっくり相談したいときはこちら	ふたつ目は、エーアイと 1 対 1 で話す。担当のエーアイを立てず、エーアイ 1 体とじっくり相談したいときはこちらです。
c5_gui6	clip	guimode	card3	0	12	③ コマンド入力へ	この画面をターミナル表示に戻します（何も止まりません）/ 下に「初期設定をやり直す」も	みっつ目は、コマンド入力へ。このペインだけターミナル表示に戻します。下に書いてあるとおり、これは表示の切り替えだけで、動いているものは何も止まりません。
c5_gui7	clip	guimode	press	-3	11	① を押すと、その画面で AI が起動する	「準備中… / AI を起動しています」が出て、そのままチャット画面へ	では、ひとつ目のボタンを押します。エーアイを起動しています、という表示が出て、そのままチャット画面に変わります。
c5_gui8	clip	guimode	chat	0	13	チャット画面になる	上にモデル名・状態・残りの会話容量 / 下が入力欄	上には、動いているモデルの名前と、待機中か考え中かの状態、それに会話の残り容量が出ます。下が入力欄で、エンター で送信、シフト プラス エンター で改行です。
c5_gui9	clip	guimode	ask	-3	12	あとは日本語で頼むだけ	よく使う操作もボタンに: 会話を軽くする / 新しい会話 / ヘルプ	あとは、やってほしいことを日本語で書いて送るだけです。よく使う操作は、会話を軽くする、新しい会話、ヘルプ、としてボタンになっています。
c5_gui10	clip	guimode	worker	-2	13	担当 AI も同じチャット画面で隣に並ぶ	通常は司令塔の AI が指示します（ここから直接お願いすることもできます）	司令塔が担当のエーアイを立てると、隣のペインにもチャット画面が増えます。担当のエーアイには司令塔が指示を出しますが、ここから直接お願いすることもできます。
c5_gui11	clip	guimode	back	-3	10	同じボタンでターミナル表示へ戻る	変わるのは見せ方だけ。裏のターミナルは動いたまま	同じボタンを押せば、ターミナル表示に戻ります。変わるのは見せ方だけで、裏のターミナルはずっと動いたままです。
